"","collectPoints_x","collectPoints_y","collectTimes"
"375",-79.668586730957,43.6700057983398,"2019-01-08 02:37:09"
"376",-79.6678695678711,43.6694030761719,"2019-01-08 03:37:09"
"377",-79.6677017211914,43.6694679260254,"2019-01-08 04:37:09"
"378",-79.6681518554688,43.6707191467285,"2019-01-08 05:37:09"
"379",-79.6672134399414,43.6699867248535,"2019-01-08 06:37:09"
"380",-79.6677169799805,43.6698417663574,"2019-01-08 07:37:09"
"381",-79.6673431396484,43.6697425842285,"2019-01-08 08:37:09"
"382",-79.6675033569336,43.6694107055664,"2019-01-08 09:37:09"
"383",-79.6686630249023,43.6697731018066,"2019-01-08 10:39:30"
"384",-79.667350769043,43.6700248718262,"2019-01-08 11:39:30"
"385",-79.6682434082031,43.6688690185547,"2019-01-08 12:13:32"
"386",-79.2776947021484,43.7249641418457,"2019-01-08 14:03:51"
"387",-79.2758636474609,43.6946983337402,"2019-01-08 15:11:49"
"388",-79.2753372192383,43.6953048706055,"2019-01-08 15:56:56"
"389",-79.193733215332,43.8006134033203,"2019-01-08 17:43:01"
"390",-79.1995239257813,43.8097610473633,"2019-01-08 18:12:04"
"391",-79.6676406860352,43.6686248779297,"2019-01-08 22:30:15"
"392",-79.6670303344727,43.6692657470703,"2019-01-08 23:05:07"
"393",-79.6671905517578,43.6691932678223,"2019-01-09 00:03:05"
"394",-79.6673355102539,43.6686477661133,"2019-01-09 01:03:05"
"395",-79.6670455932617,43.6692390441895,"2019-01-09 02:03:05"
"396",-79.6671295166016,43.6692390441895,"2019-01-09 03:03:05"
"397",-79.6670761108398,43.6692848205566,"2019-01-09 04:03:05"
"398",-79.6669998168945,43.6692848205566,"2019-01-09 05:03:05"
"399",-79.6670455932617,43.6692085266113,"2019-01-09 06:03:05"
"400",-79.6670303344727,43.6692657470703,"2019-01-09 07:03:05"
"401",-79.6670684814453,43.6692581176758,"2019-01-09 08:03:05"
"402",-79.6669998168945,43.6691551208496,"2019-01-09 09:03:05"
"403",-79.6670608520508,43.6692276000977,"2019-01-09 10:03:05"
"404",-79.6670837402344,43.6692199707031,"2019-01-09 11:03:05"
"405",-79.6670303344727,43.6692199707031,"2019-01-09 12:11:03"
"406",-79.2776565551758,43.7249374389648,"2019-01-09 14:02:43"
"407",-79.2696380615234,43.6982192993164,"2019-01-09 14:51:31"
